,Unnamed: 0,ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN FLAG,HCN/CRN FLAG,WMO ID,INVDIST
1681,81546,USC00045371,37.97,-122.1275,70.1,CA,MARTINEZ 2 S,,,,0.04198717973723962
1735,81600,USC00045915,37.8792,-121.9303,661.4,CA,MT DIABLO JUNCTION,,,,0.055208947379303513
1756,81621,USC00046144,37.5147,-122.0325,3.0,CA,NEWARK,,,,0.06327762432719514
1773,81638,USC00046201,37.5833,-121.9667,21.3,CA,NILES,,,,0.10107614600279025
1783,81648,USC00046332,37.7833,-122.1667,134.1,CA,OAKLAND,,,,0.10926534859212303
1784,81649,USC00046333,37.8,-122.2667,10.7,CA,OAKLAND CITY HALL,,,,0.05381084627463037
1785,81650,USC00046336,37.7983,-122.2642,9.1,CA,OAKLAND MUSEUM,,,,0.054169901097638945
1803,81668,USC00046502,37.8667,-122.1667,167.9,CA,ORINDA BOWMAN,,,,0.062239977789683196
1909,81774,USC00047414,37.9192,-122.3772,6.1,CA,RICHMOND,,,,0.036529127069238554
1910,81775,USC00047416,37.9167,-122.3333,3.0,CA,RICHMOND FLD STN,,,,0.043341097269728075
1925,81790,USC00047661,37.8333,-122.1,189.0,CA,SAINT MARYS COLLEGE,,,,0.06954259690089415
2103,81968,USC00048996,37.7833,-121.4333,3.0,CA,TRACY,,,,0.045479172509553016
2105,81970,USC00049001,37.7958,-121.5831,18.6,CA,TRACY PUMPING PLT,,,,0.07648613857874427
2139,82004,USC00049185,37.7719,-122.1675,120.1,CA,UPPER SAN LEANDRO FILTERS,,,,0.08421014303230144
2165,82030,USC00049423,37.8833,-122.0333,74.7,CA,WALNUT CREEK 2 ESE,,,,0.055250334005920235
2166,82031,USC00049426,37.9,-122.0167,67.1,CA,WALNUT CREEK 2 ENE,,,,0.052107241271408554
2167,82032,USC00049427,37.9,-121.9833,121.9,CA,WALNUT CREEK 4 E,,,,0.05196018347563317
2271,102511,USR0000CBRI,37.9442,-122.1178,442.0,CA,BRIONES CALIFORNIA,,,,0.04541973690148986
2298,102542,USR0000CCLV,37.5531,-121.8439,374.9,CA,CALAVERAS ROAD CALIFORNIA,,,,0.14033422456334055
2403,102681,USR0000CLVR,37.7119,-121.8136,243.8,CA,LIVERMORE CALIFORNIA,,,,0.1166355229166226
2421,102701,USR0000CMLR,37.8172,-121.7789,621.8,CA,MALLORY RIDGE CALIFORNIA,,,,0.06958472331342132
2439,102723,USR0000COKN,37.865,-122.2208,427.6,CA,OAKLAND NORTH CALIFORNIA,,,,0.07595860712476019
2441,102725,USR0000COKS,37.7861,-122.1447,333.8,CA,OAKLAND SOUTH CALIFORNIA,,,,0.10159655782534102
2460,102750,USR0000CPOV,37.4431,-121.7706,629.7,CA,POVERTY CALIFORNIA,,,,0.07207572136754753
2474,102770,USR0000CRSP,37.5019,-121.7355,932.7,CA,ROSE PEAK CALIFORNIA,,,,0.10267886099741727
2521,102824,USR0000CTRA,37.8339,-122.0669,536.4,CA,LAS TRAMPAS CALIFORNIA,,,,0.06987142948749697
2634,105438,USW00023230,37.7214,-122.2208,1.8,CA,OAKLAND METRO INTL AP,,,72493.0,0.05643738158224479
2640,105444,USW00023239,37.7333,-122.3167,4.9,CA,ALAMEDA NAS,,,74506.0,0.0434744643230028
2657,105461,USW00023285,37.6928,-121.8144,119.8,CA,LIVERMORE MUNI AP,,,,0.1184144112875922
2703,106014,USW00093211,37.7333,-122.2,2.1,CA,OAKLAND NAS,,,,0.06181572270650179
2714,106025,USW00093228,37.6542,-122.115,13.1,CA,HAYWARD AIR TERMINAL,,,72585.0,0.07121144285827191
